title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,publisher_cleaned,release_date,ISBN_13
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist,Dr. Dhaval Maheta,6.75,500,4.4,23,55%,39%,6%,0%,0%,8.5 x 1.01 x 11 inches,2.53 pounds,English,"Notion Press Media Pvt Ltd (November 22, 2021)",Notion Press Media Pvt Ltd,"November 22, 2021",978-1685549596
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",Michael Milton,33.72,484,4.3,124,61%,20%,9%,4%,6%,8 x 0.98 x 9.25 inches,1.96 pounds,English,"O'Reilly Media; 1st edition (August 18, 2009)",O'Reilly Media; 1st edition,"August 18, 2009",978-0596153939
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"Oz du Soleil, Bill Jelen",32.07,274,4.7,10,87%,13%,0%,0%,0%,8.25 x 0.6 x 10.75 inches,1.4 pounds,English,"Holy Macro! Books; Third edition (August 1, 2022)",Holy Macro! Books; Third edition,"August 1, 2022",978-1615470747
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",William McKinney,53.99,547,4.6,"1,686",75%,16%,5%,2%,2%,7 x 1.11 x 9.19 inches,1.47 pounds,English,"O'Reilly Media; 2nd edition (November 14, 2017)",O'Reilly Media; 2nd edition,"November 14, 2017",978-1491957660
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),Paul McFedries,24.49,368,3.9,12,52%,17%,10%,10%,10%,7.38 x 0.83 x 9.25 inches,1.3 pounds,English,"For Dummies; 5th edition (February 3, 2022)",For Dummies; 5th edition,"February 3, 2022",978-1119844426
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,40.49,360,4.6,72,75%,18%,2%,2%,2%,6.75 x 0.75 x 8.75 inches,1.2 pounds,English,"O'Reilly Media; 1st edition (October 5, 2021)",O'Reilly Media; 1st edition,"October 5, 2021",978-1492088783
Qualitative Data Analysis: A Methods Sourcebook,"Matthew B. Miles, A. Michael Huberman, Johnny Saldaña",90,408,4.7,205,84%,9%,4%,2%,0%,8.5 x 0.92 x 11 inches,2.15 pounds,English,"SAGE Publications, Inc; 4th edition (January 22, 2019)","SAGE Publications, Inc; 4th edition","January 22, 2019",978-1506353074
Topological Data Analysis with Applications,"Gunnar Carlsson, Mikael Vejdemo-Johansson",54.19,230,5,5,100%,0%,0%,0%,0%,6.75 x 0.75 x 9.75 inches,1.28 pounds,English,"Cambridge University Press; 1st edition (March 24, 2022)",Cambridge University Press; 1st edition,"March 24, 2022",978-1108838658
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",Robert I. Kabacoff,56.99,656,4.3,14,78%,11%,11%,0%,0%,7.38 x 1.5 x 9.25 inches,2.62 pounds,English,"Manning; 3rd edition (May 3, 2022)",Manning; 3rd edition,"May 3, 2022",978-1617296055
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",Annette Lareau,20,333,4.5,46,73%,13%,7%,3%,3%,6 x 0.9 x 9 inches,1.01 pounds,English,"University of Chicago Press (October 15, 2021)",University of Chicago Press,"October 15, 2021",978-0226806433
